row,doc_id,chunk_id
434,03807803a9187364,03807803a9187364_00131
435,03807803a9187364,03807803a9187364_00132
436,03807803a9187364,03807803a9187364_00133
437,03807803a9187364,03807803a9187364_00134
438,03807803a9187364,03807803a9187364_00135
439,03807803a9187364,03807803a9187364_00136
440,03807803a9187364,03807803a9187364_00137
441,03807803a9187364,03807803a9187364_00138
442,03807803a9187364,03807803a9187364_00139
443,03807803a9187364,03807803a9187364_00140
444,03807803a9187364,03807803a9187364_00141
445,03807803a9187364,03807803a9187364_00142
446,03807803a9187364,03807803a9187364_00143
447,03807803a9187364,03807803a9187364_00144
448,03807803a9187364,03807803a9187364_00145
449,03807803a9187364,03807803a9187364_00146
450,03807803a9187364,03807803a9187364_00147
451,03807803a9187364,03807803a9187364_00148
452,03807803a9187364,03807803a9187364_00149
453,03807803a9187364,03807803a9187364_00150
454,03807803a9187364,03807803a9187364_00151
455,03807803a9187364,03807803a9187364_00152
456,03807803a9187364,03807803a9187364_00153
457,03807803a9187364,03807803a9187364_00154
458,03807803a9187364,03807803a9187364_00155
459,03807803a9187364,03807803a9187364_00156
460,03807803a9187364,03807803a9187364_00157
461,03807803a9187364,03807803a9187364_00158
462,03807803a9187364,03807803a9187364_00159
463,03807803a9187364,03807803a9187364_00160
464,03807803a9187364,03807803a9187364_00161
465,03807803a9187364,03807803a9187364_00162
466,03807803a9187364,03807803a9187364_00163
467,03807803a9187364,03807803a9187364_00164
468,03807803a9187364,03807803a9187364_00165
469,03807803a9187364,03807803a9187364_00166
470,03807803a9187364,03807803a9187364_00167
471,03807803a9187364,03807803a9187364_00168
472,03807803a9187364,03807803a9187364_00169
473,03807803a9187364,03807803a9187364_00170
474,03807803a9187364,03807803a9187364_00171
475,03807803a9187364,03807803a9187364_00172
476,03807803a9187364,03807803a9187364_00173
477,03807803a9187364,03807803a9187364_00174
478,03807803a9187364,03807803a9187364_00175
479,03807803a9187364,03807803a9187364_00176
480,03807803a9187364,03807803a9187364_00177
481,03807803a9187364,03807803a9187364_00178
482,03807803a9187364,03807803a9187364_00179
483,03807803a9187364,03807803a9187364_00180
484,03807803a9187364,03807803a9187364_00181
